0.10	0.10	0.10	0.10	0.05	0.20	0.10	0.10	0.05	0.10  
0.15	0.15	0.10	0.05	0.05	0.10	0.10 	0.10	0.10	0.10 
0.0	0.10	0.10	0.10	0.20	0.0	0.0 	0.25	0.25	0.0 
0.15	0.15	0.0	0.0	0.2	0.10	0.10 	0.10	0.10	0.10 
0.15	0.0	0.10	0.20	0.15	0.0	0.10 	0.10	0.10	0.10 
0.10	0.20	0.25	0.0	0.0	0.125	0.125	0.0	0.20	0.0 
0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.10
0.10	0.10	0.10	0.10	0.0	0.40	0.0	0.10	0.0	0.10  
0.15	0.15	0.10	0.05	0.05	0.10	0.10 	0.10	0.10	0.10 
0.15	0.15	0.10	0.05	0.05	0.10	0.10 	0.10	0.10	0.10 
